brightness,contrast,saturation,sharpness,dominant_color_1,dominant_color_2,dominant_color_3,image_name,raw_rating,rating
209.83,31.62,15.21,558.08,"[144, 136, 134]","[190, 191, 196]","[224, 226, 230]",living_285.jpg,122.21100000000001,1.13
144.96,80.45,29.66,1357.45,"[235, 235, 232]","[60, 55, 49]","[162, 146, 142]",living_286.jpg,241.87800000000001,1.33
177.71,63.16,92.64,4094.87,"[193, 165, 127]","[100, 75, 46]","[252, 250, 245]",living_288.jpg,664.2570000000001,2.05
114.66,67.21,179.03,970.1,"[139, 90, 46]","[50, 22, 9]","[222, 181, 127]",living_289.jpg,199.64999999999998,1.26
109.62,54.29,126.51,2929.95,"[123, 92, 63]","[61, 37, 26]","[175, 168, 161]",living_29.jpg,483.05549999999994,1.74
166.83,73.13,17.38,1473.75,"[164, 159, 158]","[68, 63, 60]","[229, 229, 231]",living_290.jpg,259.6635,1.36
104.97,64.67,141.25,1515.77,"[57, 29, 14]","[127, 80, 55]","[202, 194, 189]",living_292.jpg,273.999,1.39
174.18,50.52,54.29,1332.19,"[194, 184, 175]","[66, 41, 33]","[153, 109, 85]",living_293.jpg,241.677,1.33
193.57,52.62,22.88,1806.79,"[226, 224, 220]","[185, 179, 174]","[106, 90, 79]",living_294.jpg,311.37899999999996,1.45
122.17,63.52,70.99,2800.78,"[192, 193, 199]","[60, 47, 43]","[135, 116, 106]",living_297.jpg,458.619,1.7
127.43,66.9,62.98,1414.16,"[59, 44, 32]","[195, 192, 187]","[139, 126, 115]",living_298.jpg,250.7205,1.35
189.81,54.32,25.13,3818.2,"[159, 152, 140]","[217, 215, 209]","[67, 58, 51]",living_3.jpg,613.1189999999999,1.97
184.94,61.28,29.47,1629.87,"[222, 217, 212]","[64, 53, 44]","[178, 168, 153]",living_30.jpg,285.83399999999995,1.41
37.53,53.31,57.56,2086.75,"[11, 9, 8]","[195, 191, 166]","[96, 82, 68]",living_300.jpg,335.2725,1.49
156.36,51.36,89.87,2189.0,"[167, 135, 99]","[88, 62, 46]","[192, 179, 164]",living_301.jpg,372.9885,1.56
178.36,49.48,55.41,2919.75,"[172, 164, 138]","[207, 204, 187]","[108, 85, 53]",living_302.jpg,480.45,1.74
160.22,83.98,49.83,6828.21,"[60, 67, 46]","[245, 246, 246]","[129, 137, 121]",living_303.jpg,1068.3359999999998,2.74
166.02,67.82,59.96,2466.87,"[239, 238, 237]","[96, 70, 53]","[183, 171, 153]",living_304.jpg,414.10049999999995,1.63
103.15,49.21,40.62,4212.46,"[63, 58, 51]","[121, 114, 106]","[188, 180, 171]",living_305.jpg,660.816,2.05
169.81,75.95,73.3,2446.68,"[253, 252, 252]","[91, 56, 37]","[167, 145, 124]",living_306.jpg,414.86099999999993,1.63
163.34,48.06,59.65,3530.18,"[203, 197, 173]","[74, 65, 46]","[166, 157, 127]",living_307.jpg,570.1845,1.89
133.84,62.33,157.28,2846.77,"[142, 93, 50]","[70, 35, 21]","[207, 171, 111]",living_308.jpg,480.03299999999996,1.74
178.73,58.49,28.0,1312.5,"[244, 241, 239]","[181, 175, 165]","[94, 85, 73]",living_309.jpg,236.65800000000002,1.33
166.72,64.88,24.1,3062.32,"[220, 219, 218]","[73, 64, 58]","[141, 135, 128]",living_31.jpg,497.70300000000003,1.77
87.71,50.83,120.42,1732.77,"[50, 37, 24]","[102, 77, 52]","[211, 208, 190]",living_310.jpg,298.7595,1.43
173.76,51.91,45.6,1997.05,"[221, 216, 212]","[174, 158, 149]","[111, 87, 76]",living_311.jpg,340.248,1.5
128.01,55.92,45.23,1354.57,"[134, 134, 129]","[196, 212, 213]","[61, 60, 62]",living_314.jpg,237.55949999999999,1.33
107.35,70.32,131.3,6283.32,"[199, 183, 169]","[128, 91, 63]","[42, 19, 12]",living_315.jpg,988.8435,2.61
106.78,60.17,47.7,2392.47,"[116, 109, 95]","[47, 40, 35]","[181, 174, 166]",living_316.jpg,391.0679999999999,1.59
153.96,55.11,9.29,995.08,"[148, 145, 142]","[206, 205, 204]","[69, 67, 65]",living_317.jpg,182.01600000000002,1.23
200.16,46.53,23.01,1118.71,"[199, 199, 199]","[131, 119, 102]","[236, 238, 241]",living_318.jpg,208.2615,1.28
174.84,58.2,7.87,1339.71,"[224, 224, 222]","[170, 169, 168]","[67, 66, 65]",living_319.jpg,237.09300000000002,1.33
120.11,54.24,35.39,739.67,"[163, 161, 157]","[35, 33, 32]","[114, 111, 104]",living_32.jpg,142.4115,1.17
165.37,55.59,47.17,2225.69,"[74, 71, 57]","[224, 221, 211]","[177, 170, 143]",living_321.jpg,374.073,1.56
155.73,74.18,101.35,4412.28,"[173, 140, 118]","[95, 51, 37]","[236, 227, 218]",living_324.jpg,711.531,2.13
203.11,40.01,39.11,2738.85,"[191, 185, 157]","[229, 227, 208]","[132, 123, 97]",living_326.jpg,453.162,1.69
188.15,62.04,53.69,1674.54,"[185, 170, 165]","[124, 74, 46]","[230, 227, 230]",living_327.jpg,296.763,1.43
181.93,63.98,60.96,2430.38,"[192, 175, 161]","[120, 84, 56]","[243, 243, 240]",living_328.jpg,410.58750000000003,1.62
